,Date,Month,Day,Hour,Minute,Power,Central,Domar,Tiunda,Ärentuna,Stenhagen
86,2021-10-05,10,5,13,10,7495.0,1,0,0,0,0
87,2021-10-05,10,5,13,15,13642.0,1,0,0,0,0
88,2021-10-05,10,5,13,20,14151.0,1,0,0,0,0
89,2021-10-05,10,5,13,25,22960.0,1,0,0,0,0
90,2021-10-05,10,5,13,30,12938.0,1,0,0,0,0
91,2021-10-05,10,5,13,35,10277.0,1,0,0,0,0
92,2021-10-05,10,5,13,40,8107.0,1,0,0,0,0
93,2021-10-05,10,5,13,45,12149.0,1,0,0,0,0
94,2021-10-05,10,5,13,50,10955.0,1,0,0,0,0
95,2021-10-05,10,5,13,55,9353.0,1,0,0,0,0
96,2021-10-05,10,5,14,0,8398.0,1,0,0,0,0
97,2021-10-05,10,5,14,5,12229.0,1,0,0,0,0
98,2021-10-05,10,5,14,10,8592.0,1,0,0,0,0
99,2021-10-05,10,5,14,15,12840.0,1,0,0,0,0
100,2021-10-05,10,5,14,20,8802.0,1,0,0,0,0
101,2021-10-05,10,5,14,25,6366.0,1,0,0,0,0
102,2021-10-05,10,5,14,30,2980.0,1,0,0,0,0
103,2021-10-05,10,5,14,35,3694.0,1,0,0,0,0
104,2021-10-05,10,5,14,40,3295.0,1,0,0,0,0
105,2021-10-05,10,5,14,45,3834.0,1,0,0,0,0
106,2021-10-05,10,5,14,50,3609.0,1,0,0,0,0
107,2021-10-05,10,5,14,55,2890.0,1,0,0,0,0
108,2021-10-05,10,5,15,0,4540.0,1,0,0,0,0
109,2021-10-05,10,5,15,5,3013.0,1,0,0,0,0
110,2021-10-05,10,5,15,10,3818.0,1,0,0,0,0
111,2021-10-05,10,5,15,15,1840.0,1,0,0,0,0
112,2021-10-05,10,5,15,20,1029.0,1,0,0,0,0
113,2021-10-05,10,5,15,25,1442.0,1,0,0,0,0
114,2021-10-05,10,5,15,30,2466.0,1,0,0,0,0
115,2021-10-05,10,5,15,35,2808.0,1,0,0,0,0
116,2021-10-05,10,5,15,40,1281.0,1,0,0,0,0
117,2021-10-05,10,5,15,45,2539.0,1,0,0,0,0
118,2021-10-05,10,5,15,50,2528.0,1,0,0,0,0
119,2021-10-05,10,5,15,55,2527.0,1,0,0,0,0
120,2021-10-06,10,6,6,0,1628.0,1,0,0,0,0
121,2021-10-06,10,6,6,5,2181.0,1,0,0,0,0
122,2021-10-06,10,6,6,10,1472.0,1,0,0,0,0
123,2021-10-06,10,6,6,15,1524.0,1,0,0,0,0
124,2021-10-06,10,6,6,20,1524.0,1,0,0,0,0
125,2021-10-06,10,6,6,25,1919.0,1,0,0,0,0
126,2021-10-06,10,6,6,30,5172.0,1,0,0,0,0
127,2021-10-06,10,6,6,35,5497.0,1,0,0,0,0
128,2021-10-06,10,6,6,40,11913.0,1,0,0,0,0
129,2021-10-06,10,6,6,45,27871.0,1,0,0,0,0
130,2021-10-06,10,6,6,50,15385.0,1,0,0,0,0
131,2021-10-06,10,6,6,55,12188.0,1,0,0,0,0
132,2021-10-06,10,6,7,0,14546.0,1,0,0,0,0
133,2021-10-06,10,6,7,5,24660.0,1,0,0,0,0
134,2021-10-06,10,6,7,10,23210.0,1,0,0,0,0
135,2021-10-06,10,6,7,15,19754.0,1,0,0,0,0
136,2021-10-06,10,6,7,20,16793.0,1,0,0,0,0
137,2021-10-06,10,6,7,25,20714.0,1,0,0,0,0
138,2021-10-06,10,6,7,30,23668.0,1,0,0,0,0
139,2021-10-06,10,6,7,35,41782.0,1,0,0,0,0
140,2021-10-06,10,6,7,40,36984.0,1,0,0,0,0
141,2021-10-06,10,6,7,45,36160.0,1,0,0,0,0
142,2021-10-06,10,6,7,50,25203.0,1,0,0,0,0
143,2021-10-06,10,6,7,55,29388.0,1,0,0,0,0
144,2021-10-06,10,6,8,0,18770.0,1,0,0,0,0
145,2021-10-06,10,6,8,5,11812.0,1,0,0,0,0
146,2021-10-06,10,6,8,10,5795.0,1,0,0,0,0
147,2021-10-06,10,6,8,15,8918.0,1,0,0,0,0
148,2021-10-06,10,6,8,20,24553.0,1,0,0,0,0
149,2021-10-06,10,6,8,25,11579.0,1,0,0,0,0
150,2021-10-06,10,6,8,30,19862.0,1,0,0,0,0
151,2021-10-06,10,6,8,35,19147.0,1,0,0,0,0
152,2021-10-06,10,6,8,40,2136.0,1,0,0,0,0
153,2021-10-06,10,6,8,45,9219.0,1,0,0,0,0
154,2021-10-06,10,6,8,50,10954.0,1,0,0,0,0
155,2021-10-06,10,6,8,55,3837.0,1,0,0,0,0
156,2021-10-06,10,6,9,0,15461.0,1,0,0,0,0
157,2021-10-06,10,6,9,5,6354.0,1,0,0,0,0
158,2021-10-06,10,6,9,10,15092.0,1,0,0,0,0
159,2021-10-06,10,6,9,15,16266.0,1,0,0,0,0
160,2021-10-06,10,6,9,20,9450.0,1,0,0,0,0
161,2021-10-06,10,6,9,25,4992.0,1,0,0,0,0
162,2021-10-06,10,6,9,30,3647.0,1,0,0,0,0
163,2021-10-06,10,6,9,35,4867.0,1,0,0,0,0
164,2021-10-06,10,6,9,40,5819.0,1,0,0,0,0
165,2021-10-06,10,6,9,45,4270.0,1,0,0,0,0
166,2021-10-06,10,6,9,50,16958.0,1,0,0,0,0
167,2021-10-06,10,6,9,55,24426.0,1,0,0,0,0
168,2021-10-06,10,6,10,0,22172.0,1,0,0,0,0
169,2021-10-06,10,6,10,5,17472.0,1,0,0,0,0
170,2021-10-06,10,6,10,10,13434.0,1,0,0,0,0
171,2021-10-06,10,6,10,15,10742.0,1,0,0,0,0
172,2021-10-06,10,6,10,20,12456.0,1,0,0,0,0
173,2021-10-06,10,6,10,25,10792.0,1,0,0,0,0
174,2021-10-06,10,6,10,30,11297.0,1,0,0,0,0
175,2021-10-06,10,6,10,35,11205.0,1,0,0,0,0
176,2021-10-06,10,6,10,40,11198.0,1,0,0,0,0
177,2021-10-06,10,6,10,45,8480.0,1,0,0,0,0
178,2021-10-06,10,6,10,50,12222.0,1,0,0,0,0
179,2021-10-06,10,6,10,55,11457.0,1,0,0,0,0
180,2021-10-06,10,6,11,0,11419.0,1,0,0,0,0
181,2021-10-06,10,6,11,5,12306.0,1,0,0,0,0
182,2021-10-06,10,6,11,10,20781.0,1,0,0,0,0
183,2021-10-06,10,6,11,15,11446.0,1,0,0,0,0
184,2021-10-06,10,6,11,20,15518.0,1,0,0,0,0
185,2021-10-06,10,6,11,25,10708.0,1,0,0,0,0
186,2021-10-06,10,6,11,30,11045.0,1,0,0,0,0
187,2021-10-06,10,6,11,35,22913.0,1,0,0,0,0
188,2021-10-06,10,6,11,40,20737.0,1,0,0,0,0
189,2021-10-06,10,6,11,45,18183.0,1,0,0,0,0
190,2021-10-06,10,6,11,50,12846.0,1,0,0,0,0
191,2021-10-06,10,6,11,55,14865.0,1,0,0,0,0
192,2021-10-06,10,6,12,0,14545.0,1,0,0,0,0
193,2021-10-06,10,6,12,5,12345.0,1,0,0,0,0
194,2021-10-06,10,6,12,10,19414.0,1,0,0,0,0
195,2021-10-06,10,6,12,15,17900.0,1,0,0,0,0
196,2021-10-06,10,6,12,20,24254.0,1,0,0,0,0
197,2021-10-06,10,6,12,25,17857.0,1,0,0,0,0
198,2021-10-06,10,6,12,30,14251.0,1,0,0,0,0
199,2021-10-06,10,6,12,35,12838.0,1,0,0,0,0
200,2021-10-06,10,6,12,40,12429.0,1,0,0,0,0
201,2021-10-06,10,6,12,45,10720.0,1,0,0,0,0
202,2021-10-06,10,6,12,50,12048.0,1,0,0,0,0
203,2021-10-06,10,6,12,55,12338.0,1,0,0,0,0
204,2021-10-06,10,6,13,0,11122.0,1,0,0,0,0
205,2021-10-06,10,6,13,5,8159.0,1,0,0,0,0
206,2021-10-06,10,6,13,10,10446.0,1,0,0,0,0
207,2021-10-06,10,6,13,15,7940.0,1,0,0,0,0
208,2021-10-06,10,6,13,20,16289.0,1,0,0,0,0
209,2021-10-06,10,6,13,25,12190.0,1,0,0,0,0
210,2021-10-06,10,6,13,30,14415.0,1,0,0,0,0
211,2021-10-06,10,6,13,35,13891.0,1,0,0,0,0
212,2021-10-06,10,6,13,40,11911.0,1,0,0,0,0
213,2021-10-06,10,6,13,45,13477.0,1,0,0,0,0
214,2021-10-06,10,6,13,50,8683.0,1,0,0,0,0
215,2021-10-06,10,6,13,55,11187.0,1,0,0,0,0
216,2021-10-06,10,6,14,0,11378.0,1,0,0,0,0
217,2021-10-06,10,6,14,5,7960.0,1,0,0,0,0
218,2021-10-06,10,6,14,10,4538.0,1,0,0,0,0
219,2021-10-06,10,6,14,15,2444.0,1,0,0,0,0
220,2021-10-06,10,6,14,20,5056.0,1,0,0,0,0
221,2021-10-06,10,6,14,25,4677.0,1,0,0,0,0
222,2021-10-06,10,6,14,30,2458.0,1,0,0,0,0
223,2021-10-06,10,6,14,35,4164.0,1,0,0,0,0
